Budget Preference,Group Size,Travel Purpose,Interest Category,Planning Style,Transport Preference,Trip Duration Preference,Gender,Age,user_id,__error__,__raw_output__
Medium,Solo,Relaxation,art,well-planned,Self-driving,weekend,female,25–34,user1,,
Low,Small Group (3–5),Food,food tours,Semi-planned,Public Transportation,short(3-5d),prefer not to say,25–34,user10,,
Medium,Small Group (3–5),Food,food tours,well-planned,Bus,short(3-5d),prefer not to say,25–34,user100,,
High,Family,Adventure,outdoors,well-planned,Self-driving,extended,prefer not to say,35–44,user11,,
Medium,Couple,Urban,performances,well-planned,Public Transportation,weekend,prefer not to say,25–34,user12,,
Medium,Family,Relaxation,beach,go with the flow,Flights,long(6-14d),prefer not to say,25–34,user13,,
,,,,,,,,,user14,Invalid JSON format,"{
  ""Budget Preference"": ""Medium"",
  ""Group Size"": ""Couple"",
  ""Travel Purpose"": ""Honeymoon"",
  ""Interest Category"": ""performances"",
  ""Planning Style"": ""semi-planned"",
  ""Transport Preference"": ""Flights"",
  ""Trip Duration Preference"": ""medium (6-14d)"",
  ""Gender"": ""female"",
  ""Age"": ""25–34"""
Medium,Family,Urban,landmarks,semi-planned,Bus,short(3-5d),prefer not to say,25–34,user15,,
Medium,Small Group (3–5),Cultural,outdoors,well-planned,Bus,short(3-5d),prefer not to say,25–34,user16,,
Medium,Solo,Adventure,architecture,well-planned,Train,short(3-5d),female,25–34,user17,,
Luxury,Couple,Honeymoon,museums,well-planned,Flights,long(6-14d),female,25–34,user18,,
Medium,Solo,Relaxation,museums,well-planned,Flights,short(3-5d),non-binary,25–34,user19,,
Medium,Solo,Urban,food tours,well-planned,Bus,short(3-5d),female,25–34,user2,,
Luxury,Couple,Honeymoon,beach,semi-planned,Flights,long(6-14d),female,25–34,user20,,
Medium,Couple,Cultural,landmarks,well-planned,Bus,weekend,prefer not to say,25–34,user21,,
,,,,,,,,,user22,Invalid JSON format,"{
  ""Budget Preference"": ""Medium"",
  ""Group Size"": ""Small Group (3–5)"",
  ""Travel Purpose"": ""Cultural"",
  ""Interest Category"": ""performances"",
  ""Planning Style"": ""Semi-planned"",
  ""Transport Preference"": ""Self-driving"",
  ""Trip Duration Preference"": ""short(3-5d)"",
  ""Gender"": ""prefer not to say"",
  ""Age"": ""25–34"""
Medium,Couple,Food,food tours,well-planned,Train,short(3-5d),female,25–34,user23,,
High,Family,Relaxation,shopping & fashions,well-planned,Flights,long(6-14d),prefer not to say,45–60,user24,,
